Oznaèení TSP	TSP	Oznaèení PSP	PSP	Skupina parametrù	Parametr	STUDIE	DUR	DSP	DPS	RDS	MSPS	Popis parametru	Guid	Datovı typ	Jednotka	IFC název	IFC Pset	Revit - systémové parametry	Revit - sdílené parametry	ArchiCAD	Allplan	Tekla	POZEMNÍ STAVBA	ARS	STA	PBR	PRT	KAN	VOD	PLN	UTCH	VZT	SIL	SLB	MAR	SHZ	EPS	OTK	GHZ	SILNIÈNÍ STAVBA	000	100	200	300	400	500	600	700	800	ELEZNIÈNÍ STAVBA	ISR
NS	Násyp	02	Nakupovanı materiál	Základní informace	Kód prvku							Jednoznaèné a unikátní identifikaèní kód prvku.	8472fd9c-65db-4cc3-b84a-cc7ae4276588	string	TEXT	Reference		Oznaèení	KÓD PRVKU				x	x																x		x	x	x	x	x	x	x	x	x	
NS	Násyp	02	Nakupovanı materiál	Rozmìry	Objem							Èíselná hodnota objemu prvku udávaná v m3.	392b90c0-d704-4fa2-8993-f83cae64c544	number	m3	NetVolume		Objem	OBJEM				x	x																x		x	x	x	x	x	x	x	x	x	
NS	Násyp	02	Nakupovanı materiál	Technické informace	Materiál							Materiálová specifikace prvku.	bd43e73e-8df9-40e7-a9bb-db9dc568768e	string	TEXT	ConstructionMaterial		Materiál	MATERIÁL				x	x																x		x	x	x	x	x	x	x	x	x	
NS	Násyp	02	Nakupovanı materiál	Technické informace	Frakce							Frakce pouitého kameniva uvedená v mm.	208f7463-375d-49a0-85d0-f9900f2e1fe7	string	SEZNAM (TEXT)	GravelFraction			FRAKCE				x	x																x		x	x	x	x	x	x	x	x	x	
NS	Násyp	02	Nakupovanı materiál	Technické informace	Míra zhutnìní							Zhutnìní dle Proctorovy køivky.	722c47b6-89b4-431d-901e-a07b590ade6c	number	%				MÍRA ZHUTNÌNÍ				x	x																x		x	x	x	x	x	x	x	x	x	
NS	Násyp	02	Nakupovanı materiál	Základní informace	Traovı úsek								11d98a57-ef6d-4fb0-ba80-4bd930b4f56c	string	TEXT																																			x	
NS	Násyp	02	Nakupovanı materiál	Technické informace	Stanièení od								7d433a45-745f-44a3-a0cf-8ae25b6384ed	number	km																																			x	
NS	Násyp	02	Nakupovanı materiál	Technické informace	Stanièení do								6b9fae73-4500-4e12-b287-ac7b56b0072e	number	km																																			x	
NS	Násyp	02	Nakupovanı materiál	Správa a údrba	Uloení dokumentace							Odkaz na konkrétní uloení dokladù k danému prvku (url odkaz, cesta na disk, apod.)	1d882029-44f0-484e-8abf-5bcb273832ac	url	url	DocumentationLocation			ULOENÍ DOKUMENTACE																															x	
NS	Násyp	02	Nakupovanı materiál	Základní informace	Stavební objekt							Jednoznaèné oznaèení stavebního objektu, ve kterém se danı prvek nachází.	e070339f-4f9f-4364-9595-11b4791420cd	string	TEXT								x	x																x		x	x	x	x	x	x	x	x	x	
NS	Násyp	03	Rozprostøení ornice	Základní informace	Kód prvku							Jednoznaèné a unikátní identifikaèní kód prvku.	8472fd9c-65db-4cc3-b84a-cc7ae4276588	string	TEXT	Reference		Oznaèení	KÓD PRVKU				x	x																x		x	x	x	x	x	x	x	x	x	
NS	Násyp	03	Rozprostøení ornice	Rozmìry	Objem							Èíselná hodnota objemu prvku udávaná v m3.	392b90c0-d704-4fa2-8993-f83cae64c544	number	m3	NetVolume		Objem	OBJEM				x	x																x		x	x	x	x	x	x	x	x	x	
NS	Násyp	03	Rozprostøení ornice	Technické informace	Materiál							Materiálová specifikace prvku.	bd43e73e-8df9-40e7-a9bb-db9dc568768e	string	TEXT	ConstructionMaterial		Materiál	MATERIÁL				x	x																x		x	x	x	x	x	x	x	x	x	
NS	Násyp	03	Rozprostøení ornice	Technické informace	Frakce							Frakce pouitého kameniva uvedená v mm.	208f7463-375d-49a0-85d0-f9900f2e1fe7	string	SEZNAM (TEXT)	GravelFraction			FRAKCE				x	x																x		x	x	x	x	x	x	x	x	x	
NS	Násyp	03	Rozprostøení ornice	Technické informace	Míra zhutnìní							Zhutnìní dle Proctorovy køivky.	722c47b6-89b4-431d-901e-a07b590ade6c	number	%				MÍRA ZHUTNÌNÍ				x	x																x		x	x	x	x	x	x	x	x	x	
NS	Násyp	03	Rozprostøení ornice	Základní informace	Traovı úsek								11d98a57-ef6d-4fb0-ba80-4bd930b4f56c	string	TEXT																																			x	
NS	Násyp	03	Rozprostøení ornice	Technické informace	Stanièení od								7d433a45-745f-44a3-a0cf-8ae25b6384ed	number	km																																			x	
NS	Násyp	03	Rozprostøení ornice	Technické informace	Stanièení do								6b9fae73-4500-4e12-b287-ac7b56b0072e	number	km																																			x	
NS	Násyp	03	Rozprostøení ornice	Správa a údrba	Uloení dokumentace							Odkaz na konkrétní uloení dokladù k danému prvku (url odkaz, cesta na disk, apod.)	1d882029-44f0-484e-8abf-5bcb273832ac	url	url	DocumentationLocation			ULOENÍ DOKUMENTACE																															x	
NS	Násyp	03	Rozprostøení ornice	Základní informace	Stavební objekt							Jednoznaèné oznaèení stavebního objektu, ve kterém se danı prvek nachází.	e070339f-4f9f-4364-9595-11b4791420cd	string	TEXT								x	x																x		x	x	x	x	x	x	x	x	x	
NS	Násyp	04	Zaloení trávníku	Základní informace	Kód prvku							Jednoznaèné a unikátní identifikaèní kód prvku.	8472fd9c-65db-4cc3-b84a-cc7ae4276588	string	TEXT	Reference		Oznaèení	KÓD PRVKU				x	x																x		x	x	x	x	x	x	x	x	x	
NS	Násyp	04	Zaloení trávníku	Rozmìry	Objem							Èíselná hodnota objemu prvku udávaná v m3.	392b90c0-d704-4fa2-8993-f83cae64c544	number	m3	NetVolume		Objem	OBJEM				x	x																x		x	x	x	x	x	x	x	x	x	
NS	Násyp	04	Zaloení trávníku	Technické informace	Materiál							Materiálová specifikace prvku.	bd43e73e-8df9-40e7-a9bb-db9dc568768e	string	TEXT	ConstructionMaterial		Materiál	MATERIÁL				x	x																x		x	x	x	x	x	x	x	x	x	
NS	Násyp	04	Zaloení trávníku	Technické informace	Frakce							Frakce pouitého kameniva uvedená v mm.	208f7463-375d-49a0-85d0-f9900f2e1fe7	string	SEZNAM (TEXT)	GravelFraction			FRAKCE				x	x																x		x	x	x	x	x	x	x	x	x	
NS	Násyp	04	Zaloení trávníku	Technické informace	Míra zhutnìní							Zhutnìní dle Proctorovy køivky.	722c47b6-89b4-431d-901e-a07b590ade6c	number	%				MÍRA ZHUTNÌNÍ				x	x																x		x	x	x	x	x	x	x	x	x	
NS	Násyp	04	Zaloení trávníku	Základní informace	Traovı úsek								11d98a57-ef6d-4fb0-ba80-4bd930b4f56c	string	TEXT																																			x	
NS	Násyp	04	Zaloení trávníku	Technické informace	Stanièení od								7d433a45-745f-44a3-a0cf-8ae25b6384ed	number	km																																			x	
NS	Násyp	04	Zaloení trávníku	Technické informace	Stanièení do								6b9fae73-4500-4e12-b287-ac7b56b0072e	number	km																																			x	
NS	Násyp	04	Zaloení trávníku	Správa a údrba	Uloení dokumentace							Odkaz na konkrétní uloení dokladù k danému prvku (url odkaz, cesta na disk, apod.)	1d882029-44f0-484e-8abf-5bcb273832ac	url	url	DocumentationLocation			ULOENÍ DOKUMENTACE																															x	
NS	Násyp	04	Zaloení trávníku	Základní informace	Stavební objekt							Jednoznaèné oznaèení stavebního objektu, ve kterém se danı prvek nachází.	e070339f-4f9f-4364-9595-11b4791420cd	string	TEXT								x	x																x		x	x	x	x	x	x	x	x	x	
ZP	Základová patka	01	Betonová	Rozmìry	Délka							Èíselná hodnota délky udávaná v mm.	bb212dba-9864-4827-9b83-93af56946f23	number	mm	Length		Délka	DÉLKA				x	x	x															x		x	x	x	x	x	x	x	x	x	
ZP	Základová patka	01	Betonová	Rozmìry	Šíøka							Èíselná hodnota šíøky prvku uvedená v mm.	f8795e7b-eda8-4278-82bf-fe7691e30a37	number	mm	Width		Šíøka	ŠÍØKA				x	x	x															x		x	x	x	x	x	x	x	x	x	
ZP	Základová patka	01	Betonová	Rozmìry	Vıška							Èíselná hodnota vıšky prvku udávaná v mm.	6dc41ac5-e7b0-4295-ad56-18fcf4b15656	number	mm	Height		Vıška	VİŠKA				x	x	x															x		x	x	x	x	x	x	x	x	x	
ZP	Základová patka	01	Betonová	Rozmìry	Objem							Èíselná hodnota objemu prvku udávaná v m3.	392b90c0-d704-4fa2-8993-f83cae64c544	number	m3	NetVolume		Objem	OBJEM				x	x	x															x		x	x	x	x	x	x	x	x	x	
ZP	Základová patka	01	Betonová	Rozmìry	Plocha							Èíselná hodnota plochy jedné strany prvku.	aae79528-7ed3-494d-956f-14edf1a66518	number	m2	NetArea		Plocha	PLOCHA				x	x	x															x		x	x	x	x	x	x	x	x	x	
ZP	Základová patka	01	Betonová	Technické informace	Prefabrikát							Udává zda je prvek prefabrikovanı	5b201033-d986-438f-9ff5-43c100fa959c	boolean	ANO/NE								x	x	x															x		x	x	x	x	x	x	x	x	x	
ZP	Základová patka	01	Betonová	Základní informace	Stavební objekt							Jednoznaèné oznaèení stavebního objektu, ve kterém se danı prvek nachází.	e070339f-4f9f-4364-9595-11b4791420cd	string	TEXT								x	x	x															x		x	x	x	x	x	x	x	x	x	
ZP	Základová patka	01	Betonová	Technické informace	Receptura betonu							Popis sloení a zpùsoby vıroby dané betonové smìsi.	ed778ca8-32b7-4e93-9274-6c99d02c34d6	string	TEXT	ConcreteDescription			RECEPTURA BETONU				x	x	x															x		x	x	x	x	x	x	x	x	x	
ZP	Základová patka	01	Betonová	Technické informace	Tøída betonu							Tøída dle normy ÈSN.	090dec39-9115-4f89-92f4-bc565897885c	string	TEXT	StrengthClass			TØÍDA BETONU				x	x	x															x		x	x	x	x	x	x	x	x	x	
ZP	Základová patka	02	elezobetonová	Rozmìry	Délka							Èíselná hodnota délky udávaná v mm.	bb212dba-9864-4827-9b83-93af56946f23	number	mm	Length		Délka	DÉLKA				x	x	x															x		x	x	x	x	x	x	x	x	x	
ZP	Základová patka	02	elezobetonová	Rozmìry	Šíøka							Èíselná hodnota šíøky prvku uvedená v mm.	f8795e7b-eda8-4278-82bf-fe7691e30a37	number	mm	Width		Šíøka	ŠÍØKA				x	x	x															x		x	x	x	x	x	x	x	x	x	
ZP	Základová patka	02	elezobetonová	Rozmìry	Vıška							Èíselná hodnota vıšky prvku udávaná v mm.	6dc41ac5-e7b0-4295-ad56-18fcf4b15656	number	mm	Height		Vıška	VİŠKA				x	x	x															x		x	x	x	x	x	x	x	x	x	
ZP	Základová patka	02	elezobetonová	Rozmìry	Objem							Èíselná hodnota objemu prvku udávaná v m3.	392b90c0-d704-4fa2-8993-f83cae64c544	number	m3	NetVolume		Objem	OBJEM				x	x	x															x		x	x	x	x	x	x	x	x	x	
ZP	Základová patka	02	elezobetonová	Rozmìry	Plocha							Èíselná hodnota plochy jedné strany prvku.	aae79528-7ed3-494d-956f-14edf1a66518	number	m2	NetArea		Plocha	PLOCHA				x	x	x															x		x	x	x	x	x	x	x	x	x	
ZP	Základová patka	02	elezobetonová	Technické informace	Prefabrikát							Udává zda je prvek prefabrikovanı	5b201033-d986-438f-9ff5-43c100fa959c	boolean	ANO/NE								x	x	x															x		x	x	x	x	x	x	x	x	x	
ZP	Základová patka	02	elezobetonová	Základní informace	Stavební objekt							Jednoznaèné oznaèení stavebního objektu, ve kterém se danı prvek nachází.	e070339f-4f9f-4364-9595-11b4791420cd	string	TEXT								x	x	x															x		x	x	x	x	x	x	x	x	x	
ZP	Základová patka	02	elezobetonová	Technické informace	Receptura betonu							Popis sloení a zpùsoby vıroby dané betonové smìsi.	ed778ca8-32b7-4e93-9274-6c99d02c34d6	string	TEXT	ConcreteDescription			RECEPTURA BETONU				x	x	x															x		x	x	x	x	x	x	x	x	x	
ZP	Základová patka	02	elezobetonová	Technické informace	Tøída betonu							Tøída dle normy ÈSN.	090dec39-9115-4f89-92f4-bc565897885c	string	TEXT	StrengthClass			TØÍDA BETONU				x	x	x															x		x	x	x	x	x	x	x	x	x	
ZP	Základová patka	02	elezobetonová	Technické informace	Stupeò vyztuení							Èíselná hodnota, která popisuje mnoství vıztue v kg/m3 betonu.	5921b4da-46d4-4313-adad-f9cb42099cb8	number	kg/m3	ReinforcementVolumeRatio			STUPEÒ VYZTUENÍ				x	x	x															x		x	x	x	x	x	x	x	x	x	
ZP	Základová patka	02	elezobetonová	Technické informace	Tøída vıztue							"[TEXT] Typ betonáøské vıztue (10 216;10 335;10 425;10 505)"	242b915d-6839-4e21-80a2-c1537b3680fe	string	TEXT	ReinforcementType			TØÍDA VİZTUE				x	x	x															x		x	x	x	x	x	x	x	x	x	
ZP	Základová patka	02	elezobetonová	Technické informace	Krytí vıztue							[mm] Èíselná hodnota krytí vıztue udávaná v mm	b40c9338-b6f1-4726-b34d-8a37721a145a	number	mm	ConcreteCover		Krytí vıztue	KRYTÍ VİZTUE				x	x	x															x		x	x	x	x	x	x	x	x	x	
ZP	Základová patka	03	Kamenná	Rozmìry	Délka							Èíselná hodnota délky udávaná v mm.	bb212dba-9864-4827-9b83-93af56946f23	number	mm	Length		Délka	DÉLKA				x	x	x															x		x	x	x	x	x	x	x	x	x	
ZP	Základová patka	03	Kamenná	Rozmìry	Šíøka							Èíselná hodnota šíøky prvku uvedená v mm.	f8795e7b-eda8-4278-82bf-fe7691e30a37	number	mm	Width		Šíøka	ŠÍØKA				x	x	x															x		x	x	x	x	x	x	x	x	x	
ZP	Základová patka	03	Kamenná	Rozmìry	Vıška							Èíselná hodnota vıšky prvku udávaná v mm.	6dc41ac5-e7b0-4295-ad56-18fcf4b15656	number	mm	Height		Vıška	VİŠKA				x	x	x															x		x	x	x	x	x	x	x	x	x	
ZP	Základová patka	03	Kamenná	Rozmìry	Objem							Èíselná hodnota objemu prvku udávaná v m3.	392b90c0-d704-4fa2-8993-f83cae64c544	number	m3	NetVolume		Objem	OBJEM				x	x	x															x		x	x	x	x	x	x	x	x	x	
ZP	Základová patka	03	Kamenná	Rozmìry	Plocha							Èíselná hodnota plochy jedné strany prvku.	aae79528-7ed3-494d-956f-14edf1a66518	number	m2	NetArea		Plocha	PLOCHA				x	x	x															x		x	x	x	x	x	x	x	x	x	
ZP	Základová patka	03	Kamenná	Technické informace	Prefabrikát							Udává zda je prvek prefabrikovanı	5b201033-d986-438f-9ff5-43c100fa959c	boolean	ANO/NE								x	x	x															x		x	x	x	x	x	x	x	x	x	
ZP	Základová patka	03	Kamenná	Základní informace	Stavební objekt							Jednoznaèné oznaèení stavebního objektu, ve kterém se danı prvek nachází.	e070339f-4f9f-4364-9595-11b4791420cd	string	TEXT								x	x	x															x		x	x	x	x	x	x	x	x	x	
ZP	Základová patka	04	Gabionová	Rozmìry	Délka							Èíselná hodnota délky udávaná v mm.	bb212dba-9864-4827-9b83-93af56946f23	number	mm	Length		Délka	DÉLKA				x	x	x															x		x	x	x	x	x	x	x	x	x	
ZP	Základová patka	04	Gabionová	Rozmìry	Šíøka							Èíselná hodnota šíøky prvku uvedená v mm.	f8795e7b-eda8-4278-82bf-fe7691e30a37	number	mm	Width		Šíøka	ŠÍØKA				x	x	x															x		x	x	x	x	x	x	x	x	x	
ZP	Základová patka	04	Gabionová	Rozmìry	Vıška							Èíselná hodnota vıšky prvku udávaná v mm.	6dc41ac5-e7b0-4295-ad56-18fcf4b15656	number	mm	Height		Vıška	VİŠKA				x	x	x															x		x	x	x	x	x	x	x	x	x	
ZP	Základová patka	04	Gabionová	Rozmìry	Objem							Èíselná hodnota objemu prvku udávaná v m3.	392b90c0-d704-4fa2-8993-f83cae64c544	number	m3	NetVolume		Objem	OBJEM				x	x	x															x		x	x	x	x	x	x	x	x	x	
ZP	Základová patka	04	Gabionová	Rozmìry	Plocha							Èíselná hodnota plochy jedné strany prvku.	aae79528-7ed3-494d-956f-14edf1a66518	number	m2	NetArea		Plocha	PLOCHA				x	x	x															x		x	x	x	x	x	x	x	x	x	
ZP	Základová patka	04	Gabionová	Technické informace	Prefabrikát							Udává zda je prvek prefabrikovanı	5b201033-d986-438f-9ff5-43c100fa959c	boolean	ANO/NE								x	x	x															x		x	x	x	x	x	x	x	x	x	
ZP	Základová patka	04	Gabionová	Základní informace	Stavební objekt							Jednoznaèné oznaèení stavebního objektu, ve kterém se danı prvek nachází.	e070339f-4f9f-4364-9595-11b4791420cd	string	TEXT								x	x	x															x		x	x	x	x	x	x	x	x	x	
ZP	Základová patka	04	Gabionová	Technické informace	Povrchová úprava							Povrchová úprava.	f43f8083-819f-42c3-9b3f-26da7449f408	string	TEXT				POVRCHOVÁ ÚPRAVA				x	x	x															x		x	x							x	
ZP	Základová patka	04	Gabionová	Technické informace	Tlouška drátu								42b4fa74-f60c-48ce-88e3-54f1a425b924	number	mm								x	x	x															x		x	x							x	
ZP	Základová patka	04	Gabionová	Technické informace	Technologie provedení							Napøíklad CFA, Franki, beranìné, stálé, doèasné, záporové atd.	df210bd1-69c7-4860-bcfa-fe8a7306156e	string	TEXT	ExecutionTechnology			TECHNOLOGIE PROVEDENÍ				x	x	x															x		x	x							x	
ZS	Základovı pas	01	Betonovı	Základní informace	Kód prvku							Jednoznaèné a unikátní identifikaèní kód prvku.	8472fd9c-65db-4cc3-b84a-cc7ae4276588	string	TEXT	Reference		Oznaèení	KÓD PRVKU				x	x	x															x		x	x	x	x	x	x	x	x	x	
ZS	Základovı pas	01	Betonovı	Rozmìry	Délka							Èíselná hodnota délky udávaná v mm.	bb212dba-9864-4827-9b83-93af56946f23	number	mm	Length		Délka	DÉLKA				x	x	x															x		x	x	x	x	x	x	x	x	x	
ZS	Základovı pas	01	Betonovı	Rozmìry	Šíøka							Èíselná hodnota šíøky prvku uvedená v mm.	f8795e7b-eda8-4278-82bf-fe7691e30a37	number	mm	Width		Šíøka	ŠÍØKA				x	x	x															x		x	x	x	x	x	x	x	x	x	
ZS	Základovı pas	01	Betonovı	Rozmìry	Vıška							Èíselná hodnota vıšky prvku udávaná v mm.	6dc41ac5-e7b0-4295-ad56-18fcf4b15656	number	mm	Height		Vıška	VİŠKA				x	x	x															x		x	x	x	x	x	x	x	x	x	
ZS	Základovı pas	01	Betonovı	Rozmìry	Objem							Èíselná hodnota objemu prvku udávaná v m3.	392b90c0-d704-4fa2-8993-f83cae64c544	number	m3	NetVolume		Objem	OBJEM				x	x	x															x		x	x	x	x	x	x	x	x	x	
ZS	Základovı pas	01	Betonovı	Rozmìry	Plocha							Èíselná hodnota plochy jedné strany prvku.	aae79528-7ed3-494d-956f-14edf1a66518	number	m2	NetArea		Plocha	PLOCHA				x	x	x															x		x	x	x	x	x	x	x	x	x	
ZS	Základovı pas	01	Betonovı	Základní informace	Stavební objekt							Jednoznaèné oznaèení stavebního objektu, ve kterém se danı prvek nachází.	e070339f-4f9f-4364-9595-11b4791420cd	string	TEXT								x	x	x															x		x	x	x	x	x	x	x	x	x	
ZS	Základovı pas	01	Betonovı	Technické informace	Receptura betonu							Popis sloení a zpùsoby vıroby dané betonové smìsi.	ed778ca8-32b7-4e93-9274-6c99d02c34d6	string	TEXT	ConcreteDescription			RECEPTURA BETONU				x	x	x															x		x	x	x	x	x	x	x	x	x	
ZS	Základovı pas	01	Betonovı	Technické informace	Tøída betonu							Tøída dle normy ÈSN.	090dec39-9115-4f89-92f4-bc565897885c	string	TEXT	StrengthClass			TØÍDA BETONU				x	x	x															x		x	x	x	x	x	x	x	x	x	
ZS	Základovı pas	02	elezobetonovı	Základní informace	Kód prvku							Jednoznaèné a unikátní identifikaèní kód prvku.	8472fd9c-65db-4cc3-b84a-cc7ae4276588	string	TEXT	Reference		Oznaèení	KÓD PRVKU				x	x	x															x		x	x	x	x	x	x	x	x	x	
ZS	Základovı pas	02	elezobetonovı	Rozmìry	Délka							Èíselná hodnota délky udávaná v mm.	bb212dba-9864-4827-9b83-93af56946f23	number	mm	Length		Délka	DÉLKA				x	x	x															x		x	x	x	x	x	x	x	x	x	
ZS	Základovı pas	02	elezobetonovı	Rozmìry	Šíøka							Èíselná hodnota šíøky prvku uvedená v mm.	f8795e7b-eda8-4278-82bf-fe7691e30a37	number	mm	Width		Šíøka	ŠÍØKA				x	x	x															x		x	x	x	x	x	x	x	x	x	
ZS	Základovı pas	02	elezobetonovı	Rozmìry	Vıška							Èíselná hodnota vıšky prvku udávaná v mm.	6dc41ac5-e7b0-4295-ad56-18fcf4b15656	number	mm	Height		Vıška	VİŠKA				x	x	x															x		x	x	x	x	x	x	x	x	x	
ZS	Základovı pas	02	elezobetonovı	Rozmìry	Objem							Èíselná hodnota objemu prvku udávaná v m3.	392b90c0-d704-4fa2-8993-f83cae64c544	number	m3	NetVolume		Objem	OBJEM				x	x	x															x		x	x	x	x	x	x	x	x	x	
